ano_mes,estado,product_category,qtd_transacoes,valor_total,taxas_totais,cashback_total,receita_liquida_total,pontos_totais,usuarios_unicos
2025-03,Df,Serviços Públicos,27,3386.86,41.93,27.16,3372.09,1199.0,27
2025-03,Df,Streaming,29,991.71,13.56,10.67,988.8199999999999,476.0,28
2025-03,Df,Supermercado,14,2545.21,34.04,16.3,2527.4700000000003,598.0,14
2025-03,Df,Telefonia,34,2123.52,26.87,23.75,2120.4,1063.0,31
2025-03,Distrito Federal,Eletrônicos,19,12742.32,171.21,214.66,12785.77,10754.0,18
2025-03,Distrito Federal,Farmácia,35,2950.41,37.98,52.519999999999996,2964.9500000000003,2057.0,33
2025-03,Distrito Federal,Restaurantes,27,3017.01,39.99,37.480000000000004,3014.5,1602.0,26
2025-03,Distrito Federal,Roupas,34,4644.76,52.1,92.37,4685.03,3147.0,32
2025-03,Distrito Federal,Serviços Públicos,40,5051.58,67.84,66.91,5050.65,2944.0,38
2025-03,Distrito Federal,Streaming,35,1232.74,13.59,17.56,1236.71,751.0,33
2025-03,Distrito Federal,Supermercado,21,4871.55,61.25,37.09,4847.39,1469.0,18
2025-03,Distrito Federal,Telefonia,28,1678.82,20.31,15.65,1674.16,800.0,26
2025-03,Mg,Eletrônicos,26,14054.86,172.69,158.61,14040.78,6828.0,26
2025-03,Mg,Farmácia,22,2063.63,26.560000000000002,20.37,2057.44,920.0,21
2025-03,Mg,Restaurantes,21,2017.53,21.830000000000002,15.71,2011.41,652.0,18
2025-03,Mg,Roupas,24,3824.64,53.13,35.28,3806.79,1503.0,24
2025-03,Mg,Serviços Públicos,29,3759.64,45.84,39.42,3753.2200000000003,1106.0,28
2025-03,Mg,Streaming,27,938.02,12.16,9.79,935.65,348.0,25
2025-03,Mg,Supermercado,22,4972.82,66.66,39.22,4945.38,1898.0,21
2025-03,Mg,Telefonia,25,1494.58,18.41,8.58,1484.75,553.0,24
2025-03,Minas Gerais,Eletrônicos,19,11506.21,145.18,103.57,11464.6,6146.0,17
2025-03,Minas Gerais,Farmácia,32,2631.22,28.87,42.97,2645.32,1802.0,29
2025-03,Minas Gerais,Restaurantes,32,3204.4900000000002,42.79,39.89,3201.59,1962.0,30
2025-03,Minas Gerais,Roupas,25,4320.88,59.29,36.74,4298.33,1338.0,23
2025-03,Minas Gerais,Serviços Públicos,28,3143.29,36.45,36.82,3143.66,1481.0,26
2025-03,Minas Gerais,Streaming,21,737.63,8.29,7.17,736.51,315.0,21
2025-03,Minas Gerais,Supermercado,22,4625.16,61.12,65.47,4629.51,2639.0,21
2025-03,Minas Gerais,Telefonia,40,2453.35,29.11,34.0,2458.2400000000002,1292.0,37
2025-03,Paraná,Eletrônicos,21,12235.14,161.26,120.38,12194.26,5159.0,20
2025-03,Paraná,Farmácia,29,2524.89,32.92,46.86,2538.83,1602.0,29
2025-03,Paraná,Restaurantes,25,2656.89,30.69,21.72,2647.92,812.0,23
2025-03,Paraná,Roupas,26,3867.31,48.07,43.45,3862.69,1776.0,26
2025-03,Paraná,Serviços Públicos,35,4185.26,55.7,49.36,4178.92,1752.0,31
2025-03,Paraná,Streaming,40,1395.88,16.19,11.84,1391.53,503.0,35
2025-03,Paraná,Supermercado,25,4993.51,60.660000000000004,71.21000000000001,5004.06,2173.0,24
2025-03,Paraná,Telefonia,32,1938.6,25.89,24.35,1937.06,901.0,31
2025-03,Pe,Eletrônicos,22,13545.03,158.53,173.8,13560.3,7767.0,22
2025-03,Pe,Farmácia,29,2540.67,34.23,27.970000000000002,2534.41,1537.0,29
2025-03,Pe,Restaurantes,24,2138.77,26.62,8.84,2120.99,536.0,21
2025-03,Pe,Roupas,27,3990.44,45.64,49.19,3993.99,1989.0,23
2025-03,Pe,Serviços Públicos,36,4169.2300000000005,50.02,34.67,4153.88,963.0,33
2025-03,Pe,Streaming,33,1169.94,15.39,17.76,1172.31,792.0,31
2025-03,Pe,Supermercado,23,5444.82,66.25,49.29,5427.86,2230.0,23
2025-03,Pe,Telefonia,37,2371.78,32.61,26.919999999999998,2366.09,1356.0,34
2025-03,Pernambuco,Eletrônicos,31,19401.64,254.8,245.07,19391.91,10868.0,29
2025-03,Pernambuco,Farmácia,26,2267.08,27.78,27.29,2266.59,1163.0,26
2025-03,Pernambuco,Restaurantes,33,2929.32,38.45,21.21,2912.08,651.0,33
2025-03,Pernambuco,Roupas,20,3138.1,37.86,54.25,3154.49,2612.0,20
2025-03,Pernambuco,Serviços Públicos,29,3581.85,48.49,22.6,3555.96,1102.0,29
2025-03,Pernambuco,Streaming,31,1067.2,14.64,12.58,1065.1399999999999,495.0,27
2025-03,Pernambuco,Supermercado,24,4212.97,48.519999999999996,50.51,4214.96,2181.0,22
2025-03,Pernambuco,Telefonia,33,1959.75,25.03,25.93,1960.6499999999999,1203.0,31
2025-03,Pr,Eletrônicos,24,13944.67,167.54,237.51,14014.64,11027.0,24
2025-03,Pr,Farmácia,26,2428.73,32.79,24.509999999999998,2420.4500000000003,1084.0,26
2025-03,Pr,Restaurantes,19,2027.12,22.11,16.5,2021.51,684.0,18
2025-03,Pr,Roupas,36,5140.19,64.99,71.79,5146.99,3051.0,31
2025-03,Pr,Serviços Públicos,30,3731.12,51.32,41.05,3720.85,1448.0,29
2025-03,Pr,Streaming,33,1155.61,14.71,17.19,1158.09,653.0,31
2025-03,Pr,Supermercado,25,5083.79,63.55,78.25,5098.49,3758.0,25
2025-03,Pr,Telefonia,32,1912.96,26.2,16.83,1903.59,674.0,27
2025-03,Rio De Janeiro,Eletrônicos,29,16415.44,199.85,208.24,16423.829999999998,6756.0,27
2025-03,Rio De Janeiro,Farmácia,18,1383.81,17.95,14.31,1380.17,578.0,18
2025-03,Rio De Janeiro,Restaurantes,19,1820.15,21.94,39.42,1837.63,1627.0,17
2025-03,Rio De Janeiro,Roupas,19,3109.81,37.01,65.74,3138.54,2497.0,18
2025-03,Rio De Janeiro,Serviços Públicos,28,3346.22,42.4,26.729999999999997,3330.5499999999997,789.0,24
2025-03,Rio De Janeiro,Streaming,33,1169.77,15.92,13.6,1167.45,542.0,29
2025-03,Rio De Janeiro,Supermercado,28,5782.59,72.49,45.18,5755.28,1747.0,27
2025-03,Rio De Janeiro,Telefonia,32,1906.79,25.44,18.189999999999998,1899.54,827.0,32
2025-03,Rio Grande Do Sul,Eletrônicos,29,17791.45,225.13,325.6,17891.920000000002,12741.0,29
2025-03,Rio Grande Do Sul,Farmácia,16,1234.85,14.36,8.14,1228.63,336.0,16
2025-03,Rio Grande Do Sul,Restaurantes,26,2388.35,27.29,50.04,2411.1,1970.0,26
2025-03,Rio Grande Do Sul,Roupas,22,3193.82,45.73,25.48,3173.57,1362.0,20
2025-03,Rio Grande Do Sul,Serviços Públicos,34,4333.14,54.68,67.05,4345.51,2680.0,34
2025-03,Rio Grande Do Sul,Streaming,38,1290.22,16.36,17.15,1291.01,657.0,34
2025-03,Rio Grande Do Sul,Supermercado,22,4966.28,65.09,26.66,4927.85,1184.0,20
2025-03,Rio Grande Do Sul,Telefonia,27,1657.84,21.5,21.75,1658.09,697.0,27
2025-03,Rj,Eletrônicos,31,18774.22,243.11,236.72,18767.83,10400.0,31
2025-03,Rj,Farmácia,27,2547.16,30.509999999999998,27.87,2544.52,1392.0,27
2025-03,Rj,Restaurantes,12,1287.8,11.86,10.98,1286.92,516.0,12
2025-03,Rj,Roupas,33,5108.11,62.84,58.75,5104.02,2410.0,30
2025-03,Rj,Serviços Públicos,41,5148.97,66.19,89.22,5172.0,3439.0,37
2025-03,Rj,Streaming,42,1520.16,18.76,20.0,1521.4,1012.0,41
2025-03,Rj,Supermercado,29,5600.87,65.66,76.33,5611.54,3693.0,28
2025-03,Rj,Telefonia,34,1967.3899999999999,23.82,24.84,1968.41,960.0,31
2025-03,Rs,Eletrônicos,29,17403.66,211.14,237.09,17429.61,8906.0,27
2025-03,Rs,Farmácia,23,1876.86,24.759999999999998,20.93,1873.03,757.0,22
2025-03,Rs,Restaurantes,28,2966.2200000000003,34.84,18.88,2950.26,866.0,26
2025-03,Rs,Roupas,24,3681.1,51.12,50.8,3680.78,1990.0,22
2025-03,Rs,Serviços Públicos,27,3279.78,38.74,31.53,3272.57,1548.0,25
2025-03,Rs,Streaming,26,931.97,10.46,10.16,931.67,371.0,23
2025-03,Rs,Supermercado,31,5795.45,70.81,66.63,5791.2699999999995,3214.0,30
2025-03,Rs,Telefonia,37,2384.12,30.33,25.68,2379.47,1189.0,34
2025-03,Sp,Eletrônicos,30,18139.63,236.02,198.27,18101.88,7684.0,28
2025-03,Sp,Farmácia,27,2378.99,30.33,34.15,2382.81,1435.0,25
2025-03,Sp,Restaurantes,22,2463.93,35.45,14.270000000000001,2442.75,601.0,22
2025-03,Sp,Roupas,16,2347.85,31.51,40.13,2356.4700000000003,1394.0,16
2025-03,Sp,Serviços Públicos,33,3902.34,46.34,61.52,3917.52,2471.0,33
2025-03,Sp,Streaming,40,1416.75,18.07,11.55,1410.23,568.0,36
2025-03,Sp,Supermercado,34,6401.58,86.82,75.66,6390.42,2718.0,32
2025-03,Sp,Telefonia,37,2319.1,28.35,29.32,2320.07,1153.0,34
2025-03,São Paulo,Eletrônicos,20,11951.710000000001,130.04,75.79,11897.460000000001,3868.0,20
2025-03,São Paulo,Farmácia,15,1152.87,11.64,6.78,1148.01,346.0,14
2025-03,São Paulo,Restaurantes,25,2192.23,24.349999999999998,38.09,2205.9700000000003,1296.0,23
2025-03,São Paulo,Roupas,26,4146.41,49.43,30.21,4127.1900000000005,1465.0,25
2025-03,São Paulo,Serviços Públicos,28,3336.46,45.16,41.4,3332.7,1778.0,26
2025-03,São Paulo,Streaming,31,1111.74,12.24,12.45,1111.95,479.0,29
2025-03,São Paulo,Supermercado,19,3830.14,48.96,24.33,3805.5099999999998,941.0,19
2025-03,São Paulo,Telefonia,27,1590.06,21.0,19.59,1588.65,725.0,26
2025-04,Ba,Eletrônicos,257,151528.51,1886.48,1833.42,151475.45,70571.0,161
2025-04,Ba,Farmácia,225,18344.72,232.48,220.82,18333.06,9415.0,148
2025-04,Ba,Restaurantes,229,23272.71,285.83,301.64,23288.52,13053.0,145
2025-04,Ba,Roupas,235,34948.2,448.43,447.17,34946.94,18504.0,155
2025-04,Ba,Serviços Públicos,316,39545.68,481.04,458.12,39522.76,19110.0,174
2025-04,Ba,Streaming,321,11200.41,140.68,116.65,11176.38,4709.0,176
2025-04,Ba,Supermercado,257,51044.57,635.18,610.84,51020.23,25750.0,155
2025-04,Ba,Telefonia,289,17379.91,209.53,218.5,17388.88,8791.0,161
2025-04,Bahia,Eletrônicos,248,147014.57,1759.02,1339.32,146594.87,53018.0,158
2025-04,Bahia,Farmácia,191,14464.31,173.79,165.47,14455.99,6348.0,129
2025-04,Bahia,Restaurantes,215,21932.03,258.34,220.09,21893.78,10153.0,145
2025-04,Bahia,Roupas,207,29946.33,383.54,342.58,29905.37,13733.0,135
2025-04,Bahia,Serviços Públicos,317,36787.26,471.27,456.01,36772.0,17149.0,173
2025-04,Bahia,Streaming,286,10062.29,124.77,134.65,10072.17,5476.0,159
2025-04,Bahia,Supermercado,226,44356.59,568.01,417.64,44206.22,18060.0,140
2025-04,Bahia,Telefonia,326,19421.26,237.42,233.66,19417.5,9109.0,172
2025-04,Ce,Eletrônicos,240,140805.07,1751.57,1475.22,140528.72,65652.0,163
2025-04,Ce,Farmácia,262,20952.25,260.92,293.21,20984.54,11105.0,170
2025-04,Ce,Restaurantes,244,24016.39,294.49,337.17,24059.07,14684.0,168
2025-04,Ce,Roupas,263,39845.28,535.03,505.14,39815.39,20568.0,167
2025-04,Ce,Serviços Públicos,351,41861.52,537.25,507.2,41831.47,20533.0,196
2025-04,Ce,Streaming,356,12554.58,160.32,135.12,12529.38,5802.0,199
2025-04,Ce,Supermercado,224,44402.83,572.48,537.69,44368.04,25754.0,145
2025-04,Ce,Telefonia,365,22118.42,279.01,272.7,22112.11,10913.0,194
2025-04,Ceará,Eletrônicos,276,162270.32,2029.4,2374.34,162615.26,90635.0,172
2025-04,Ceará,Farmácia,267,21764.36,259.52,241.84,21746.68,10687.0,166
2025-04,Ceará,Restaurantes,258,25182.09,305.03,303.38,25180.44,12880.0,164
2025-04,Ceará,Roupas,265,40792.59,514.56,490.53,40768.56,18285.0,164
2025-04,Ceará,Serviços Públicos,368,44406.55,542.5,587.66,44451.71,24399.0,205
2025-04,Ceará,Streaming,331,11628.03,146.55,138.92,11620.4,5591.0,186
2025-04,Ceará,Supermercado,260,54945.56,692.98,684.61,54937.19,31222.0,166
2025-04,Ceará,Telefonia,351,20878.69,261.21,229.28,20846.76,10150.0,196
2025-04,Df,Eletrônicos,239,149168.8,1812.28,1435.41,148791.93,64211.0,145
2025-04,Df,Farmácia,229,18278.7,228.62,202.97,18253.05,8183.0,141
2025-04,Df,Restaurantes,238,24060.82,293.81,323.07,24090.08,12517.0,152
2025-04,Df,Roupas,219,34177.94,414.91,405.2,34168.23,16431.0,137
2025-04,Df,Serviços Públicos,317,36041.95,466.13,419.54,35995.36,16610.0,177
2025-04,Df,Streaming,313,10976.48,136.26,142.41,10982.63,5754.0,167
2025-04,Df,Supermercado,215,41923.81,521.37,473.83,41876.27,20635.0,143
2025-04,Df,Telefonia,332,19873.79,245.68,253.02,19881.13,10786.0,177
2025-04,Distrito Federal,Eletrônicos,254,155169.07,1918.35,1672.74,154923.46,77308.0,166
2025-04,Distrito Federal,Farmácia,230,17287.67,219.88,236.38,17304.17,9923.0,146
2025-04,Distrito Federal,Restaurantes,223,21736.03,273.58,257.78,21720.23,9900.0,153
2025-04,Distrito Federal,Roupas,253,37642.76,486.31,412.13,37568.58,16018.0,167
2025-04,Distrito Federal,Serviços Públicos,368,43332.26,551.82,553.72,43334.16,22747.0,199
2025-04,Distrito Federal,Streaming,354,12337.29,158.15,153.3,12332.44,6501.0,201
2025-04,Distrito Federal,Supermercado,246,52206.12,653.75,669.32,52221.69,28958.0,169
2025-04,Distrito Federal,Telefonia,359,21545.65,270.14,217.29,21492.8,9757.0,197
2025-04,Mg,Eletrônicos,267,160257.75,1998.17,1669.99,159929.57,75148.0,160
2025-04,Mg,Farmácia,257,20673.53,238.8,213.04,20647.77,8627.0,161
2025-04,Mg,Restaurantes,255,26649.51,338.3,302.41,26613.62,13922.0,157
2025-04,Mg,Roupas,251,38072.33,474.08,572.12,38170.37,22912.0,156
2025-04,Mg,Serviços Públicos,335,38708.82,504.15,463.38,38668.05,19234.0,182
2025-04,Mg,Streaming,284,9905.48,123.07000000000001,126.45,9908.86,4877.0,165
2025-04,Mg,Supermercado,228,44893.82,551.88,575.39,44917.33,22637.0,151
2025-04,Mg,Telefonia,313,18317.94,235.63,235.78,18318.09,9325.0,172
2025-04,Minas Gerais,Eletrônicos,257,151276.92,1995.58,1831.75,151113.09,77743.0,164
2025-04,Minas Gerais,Farmácia,246,20635.14,255.15,255.71,20635.7,10707.0,151
2025-04,Minas Gerais,Restaurantes,226,21945.42,276.28,254.82,21923.96,10747.0,147
2025-04,Minas Gerais,Roupas,232,34620.37,440.46999999999997,363.42,34543.32,15920.0,150
2025-04,Minas Gerais,Serviços Públicos,322,38458.87,482.71999999999997,471.49,38447.64,19737.0,179
2025-04,Minas Gerais,Streaming,330,11676.47,146.81,154.29,11683.95,5885.0,181
2025-04,Minas Gerais,Supermercado,224,43693.83,575.45,572.57,43690.95,24989.0,147
2025-04,Minas Gerais,Telefonia,334,20151.02,250.45,260.98,20161.55,9924.0,176
2025-04,Paraná,Eletrônicos,199,115047.47,1404.94,1366.84,115009.37,57068.0,129
2025-04,Paraná,Farmácia,244,20859.98,253.68,218.15,20824.45,10104.0,154
2025-04,Paraná,Restaurantes,212,21602.46,260.36,217.7,21559.8,9631.0,142
2025-04,Paraná,Roupas,221,32529.16,406.65,444.54,32567.05,17628.0,148
2025-04,Paraná,Serviços Públicos,295,35841.0,448.39,438.81,35831.42,17864.0,171
2025-04,Paraná,Streaming,361,12530.75,163.99,149.64,12516.4,6379.0,182
2025-04,Paraná,Supermercado,209,41056.14,507.43,603.88,41152.59,24134.0,138
2025-04,Paraná,Telefonia,325,19411.22,241.53,227.68,19397.37,9971.0,181
2025-04,Pe,Eletrônicos,245,132035.83,1627.11,1563.9,131972.62,69729.0,165
2025-04,Pe,Farmácia,260,20553.67,255.62,287.36,20585.41,11365.0,174
2025-04,Pe,Restaurantes,276,27780.7,350.01,330.44,27761.13,13376.0,182
2025-04,Pe,Roupas,256,38053.36,478.42,406.19,37981.13,16801.0,172
2025-04,Pe,Serviços Públicos,365,44076.25,569.8,524.18,44030.63,21933.0,204
2025-04,Pe,Streaming,355,12327.35,156.48,143.15,12314.02,6027.0,189
2025-04,Pe,Supermercado,257,51405.74,591.7,571.07,51385.11,25305.0,165
2025-04,Pe,Telefonia,399,23459.82,282.4,270.35,23447.77,11371.0,209
2025-04,Pernambuco,Eletrônicos,272,163964.06,2066.5,1844.81,163742.37,80629.0,152
2025-04,Pernambuco,Farmácia,255,20719.92,258.76,241.75,20702.91,10283.0,161
2025-04,Pernambuco,Restaurantes,257,26387.14,338.95,329.12,26377.31,14939.0,152
2025-04,Pernambuco,Roupas,240,36320.09,445.78,413.13,36287.44,17432.0,167
2025-04,Pernambuco,Serviços Públicos,354,43400.84,534.13,553.59,43420.3,23079.0,187
2025-04,Pernambuco,Streaming,303,10571.52,126.33,129.93,10575.12,5051.0,179
2025-04,Pernambuco,Supermercado,229,44651.28,565.06,445.54,44531.76,18274.0,151
2025-04,Pernambuco,Telefonia,316,18860.08,238.15,202.34,18824.27,8303.0,180
2025-04,Pr,Eletrônicos,233,144344.6,1799.27,1893.69,144439.02,84617.0,147
2025-04,Pr,Farmácia,225,17761.45,218.27,207.2,17750.38,7918.0,150
2025-04,Pr,Restaurantes,240,24672.97,320.97,325.83,24677.83,12596.0,158
2025-04,Pr,Roupas,224,33857.6,437.24,436.09,33856.45,18760.0,133
2025-04,Pr,Serviços Públicos,312,38413.37,483.52,484.13,38413.98,19611.0,176
2025-04,Pr,Streaming,325,11404.33,145.17,134.23,11393.39,5438.0,184
2025-04,Pr,Supermercado,227,45510.08,567.34,623.02,45565.76,25810.0,151
2025-04,Pr,Telefonia,332,19788.66,241.79,222.21,19769.08,9260.0,185
2025-04,Rio De Janeiro,Eletrônicos,244,151958.83,1896.55,1973.56,152035.84,79369.0,160
2025-04,Rio De Janeiro,Farmácia,218,17741.670000000002,225.89,244.72,17760.5,10001.0,141
2025-04,Rio De Janeiro,Restaurantes,235,22874.51,300.13,275.66,22850.04,10455.0,155
2025-04,Rio De Janeiro,Roupas,228,35316.62,440.09,343.03000000000003,35219.56,16321.0,148
2025-04,Rio De Janeiro,Serviços Públicos,317,38839.72,502.71,487.36,38824.37,21911.0,184
2025-04,Rio De Janeiro,Streaming,316,11283.52,139.82,141.06,11284.76,5579.0,174
2025-04,Rio De Janeiro,Supermercado,241,47622.55,595.83,590.38,47617.1,25248.0,155
2025-04,Rio De Janeiro,Telefonia,308,18250.18,220.89,198.4,18227.69,8952.0,168
2025-04,Rio Grande Do Sul,Eletrônicos,246,140369.65,1779.66,1662.39,140252.38,75279.0,159
2025-04,Rio Grande Do Sul,Farmácia,213,16993.64,213.28,195.16,16975.52,7955.0,147
2025-04,Rio Grande Do Sul,Restaurantes,217,20924.88,252.99,256.71,20928.6,10653.0,148
2025-04,Rio Grande Do Sul,Roupas,234,34857.74,421.11,402.12,34838.75,17111.0,149
2025-04,Rio Grande Do Sul,Serviços Públicos,292,34901.88,441.15,444.56,34905.29,18967.0,170
2025-04,Rio Grande Do Sul,Streaming,360,12701.49,155.6,172.16,12718.05,7277.0,188
2025-04,Rio Grande Do Sul,Supermercado,232,47114.76,601.18,619.97,47133.55,25842.0,154
2025-04,Rio Grande Do Sul,Telefonia,302,18044.89,221.78,226.77,18049.88,9171.0,169
2025-04,Rj,Eletrônicos,242,150948.82,1969.02,1529.6,150509.4,60635.0,160
2025-04,Rj,Farmácia,278,22531.68,278.43,289.26,22542.510000000002,12600.0,177
2025-04,Rj,Restaurantes,250,24912.4,299.16,291.86,24905.1,11628.0,159
2025-04,Rj,Roupas,243,37296.41,481.59,360.91,37175.73,15149.0,160
2025-04,Rj,Serviços Públicos,349,42786.95,541.45,492.6,42738.1,21416.0,199
2025-04,Rj,Streaming,332,11629.54,144.47,144.97,11630.039999999999,5912.0,188
2025-04,Rj,Supermercado,248,48853.36,615.48,580.36,48818.24,24432.0,168
2025-04,Rj,Telefonia,371,22481.0,276.95,299.93,22503.98,11496.0,213
2025-04,Rs,Eletrônicos,256,154805.06,1876.61,1898.68,154827.13,82344.0,162
2025-04,Rs,Farmácia,260,21829.65,275.25,297.21,21851.61,11622.0,152
2025-04,Rs,Restaurantes,268,27623.17,346.79,351.41,27627.79,14421.0,167
2025-04,Rs,Roupas,237,35428.93,430.79,428.22,35426.36,16378.0,160
2025-04,Rs,Serviços Públicos,351,41317.11,514.1899999999999,522.86,41325.78,20359.0,194
2025-04,Rs,Streaming,344,12038.55,150.59,154.71,12042.67,6213.0,188
2025-04,Rs,Supermercado,237,47321.18,597.37,502.09,47225.9,22339.0,164
2025-04,Rs,Telefonia,331,19972.829999999998,247.65,258.93,19984.11,10245.0,180
2025-04,Sp,Eletrônicos,235,140036.53,1769.61,1721.28,139988.2,68991.0,160
2025-04,Sp,Farmácia,225,17628.94,217.26,196.55,17608.23,8217.0,149
2025-04,Sp,Restaurantes,251,25894.66,321.02,304.85,25878.49,12429.0,155
2025-04,Sp,Roupas,254,37051.17,470.84,456.29,37036.62,17621.0,164
2025-04,Sp,Serviços Públicos,367,44155.03,553.17,531.04,44132.9,22059.0,198
2025-04,Sp,Streaming,354,12560.12,159.19,153.38,12554.31,6301.0,197
2025-04,Sp,Supermercado,265,50859.31,631.83,597.99,50825.47,25543.0,170
2025-04,Sp,Telefonia,305,17963.78,224.6,210.09,17949.27,8792.0,177
2025-04,São Paulo,Eletrônicos,246,144636.5,1746.52,1868.3,144758.28,78284.0,161
2025-04,São Paulo,Farmácia,215,17566.21,211.79,193.24,17547.66,8794.0,153
2025-04,São Paulo,Restaurantes,259,25888.06,318.45,309.89,25879.5,12535.0,161
2025-04,São Paulo,Roupas,250,36784.55,440.17,373.44,36717.82,16201.0,165
2025-04,São Paulo,Serviços Públicos,381,45546.8,577.82,615.55,45584.53,24431.0,192
2025-04,São Paulo,Streaming,368,12989.28,160.25,173.59,13002.62,6867.0,193
2025-04,São Paulo,Supermercado,290,59343.82,728.93,795.98,59410.87,32001.0,175
2025-04,São Paulo,Telefonia,349,21429.68,266.83,277.95,21440.8,12150.0,192
2025-05,Ba,Eletrônicos,259,151201.72,1961.91,1755.0,150994.81,68613.0,156
2025-05,Ba,Farmácia,254,19976.61,254.27,202.59,19924.93,8740.0,147
2025-05,Ba,Restaurantes,249,23912.74,287.12,278.63,23904.25,12479.0,153
2025-05,Ba,Roupas,286,43870.25,531.48,520.25,43859.02,20912.0,163
2025-05,Ba,Serviços Públicos,318,38041.9,480.65,419.75,37981.0,17817.0,168
2025-05,Ba,Streaming,322,11427.15,143.98,156.6,11439.77,6510.0,170
2025-05,Ba,Supermercado,231,47511.22,584.86,479.14,47405.5,20212.0,147
2025-05,Ba,Telefonia,316,19419.66,235.1,233.56,19418.12,9515.0,167
2025-05,Bahia,Eletrônicos,232,147809.76,1800.8,1700.89,147709.85,71615.0,149
2025-05,Bahia,Farmácia,267,21282.44,257.21,255.84,21281.07,11119.0,150
2025-05,Bahia,Restaurantes,212,20691.16,256.65,208.8,20643.31,8786.0,146
2025-05,Bahia,Roupas,213,32451.96,414.39,431.81,32469.38,16311.0,132
2025-05,Bahia,Serviços Públicos,342,41909.79,530.69,483.32,41862.42,19938.0,171
2025-05,Bahia,Streaming,322,11237.52,141.42,133.99,11230.09,5410.0,173
2025-05,Bahia,Supermercado,225,46353.71,600.47,561.11,46314.35,22677.0,151
2025-05,Bahia,Telefonia,329,19943.89,258.67,194.9,19880.12,8193.0,169
2025-05,Ce,Eletrônicos,265,149099.84,1903.89,1867.46,149063.41,77099.0,160
2025-05,Ce,Farmácia,263,21836.77,268.63,229.38,21797.52,9404.0,160
2025-05,Ce,Restaurantes,264,27783.74,345.0,305.89,27744.63,13673.0,169
2025-05,Ce,Roupas,275,42349.9,526.73,492.99,42316.159999999996,21558.0,171
2025-05,Ce,Serviços Públicos,377,44921.44,549.05,581.91,44954.3,23631.0,197
2025-05,Ce,Streaming,388,13414.53,165.99,160.59,13409.13,6402.0,204
