transaction_id,user_id,transaction_date,product_category,product_name,merchant_name,product_amount,transaction_fee,cashback,loyalty_points,payment_method
T000028,U04267,2025-04-16,Roupas,Renner,Duarte,53.24,0.44,0.0,0.0,Pix
T000029,U03178,2025-05-27,Serviços Públicos,Gás,Gás,172.32,2.57,0.0,0.0,Cartão de Crédito
T000030,U00841,2025-05-19,Eletrônicos,Casas Bahia,Novaes e Filhos,509.74,8.34,0.0,0.0,Cartão de Crédito
T000031,U03566,2025-04-23,Telefonia,Claro,Claro,84.83,0.49,2.8,92.0,Cartão de Crédito
T000032,U00187,2025-04-16,Telefonia,Oi,Oi,59.44,0.54,0.0,0.0,Pix
T000033,U04014,2025-05-20,Streaming,Amazon Prime,Amazon Prime,32.66,0.49,0.0,0.0,Cartão de Crédito
T000034,U03365,2025-05-27,Farmácia,Panvel,Fonseca e Filhos,53.24,0.85,1.4,36.0,Cartão de Débito
T000035,U00950,2025-06-20,Streaming,Disney+,Disney+,30.27,0.46,0.0,0.0,Cartão de Crédito
T000036,U01312,2025-04-25,Supermercado,Carrefour,Rezende,333.06,5.99,9.56,475.0,Boleto
T000037,U01162,2025-05-08,Streaming,HBO Max,HBO Max,33.14,0.55,1.48,21.0,Cartão de Débito
T000038,U04043,2025-04-12,Restaurantes,Rappi,das Neves Ferreira S/A,189.09,2.16,7.7,158.0,Boleto
T000039,U00298,2025-05-31,Streaming,HBO Max,HBO Max,30.96,0.37,0.41,27.0,Boleto
T000040,U04156,2025-05-14,Telefonia,Vivo,Vivo,73.81,0.55,1.81,97.0,Cartão de Crédito
T000041,U01752,2025-06-08,Roupas,C&A,Borges,38.53,0.65,0.0,0.0,Boleto
T000042,U04244,2025-04-18,Telefonia,Claro,Claro,49.32,0.74,0.0,0.0,Pix
T000043,U03630,2025-05-12,Restaurantes,McDonald’s,Pires,167.77,1.48,5.3,298.0,Pix
T000044,U02339,2025-06-09,Farmácia,Drogasil,Lopes,62.55,0.37,0.0,0.0,Pix
T000045,U02241,2025-06-08,Eletrônicos,Casas Bahia,Sá Ltda.,1004.44,15.07,33.05,889.0,Pix
T000046,U00243,2025-06-21,Roupas,Zara,Aragão,170.99,3.33,4.98,235.0,Boleto
T000047,U04233,2025-05-07,Supermercado,Extra,Câmara - ME,183.58,2.57,0.0,0.0,Boleto
T000048,U04424,2025-04-28,Serviços Públicos,Água,Água,138.48,2.7,0.0,0.0,Boleto
T000049,U00366,2025-05-03,Telefonia,TIM,TIM,28.4,0.17,0.35,35.0,Pix
T000050,U01774,2025-04-18,Streaming,Netflix,Netflix,26.03,0.19,0.0,0.0,Pix
T000051,U04477,2025-06-07,Telefonia,Claro,Claro,70.96,0.4,0.99,47.0,Boleto
T000052,U04051,2025-05-18,Supermercado,Carrefour,Andrade Castro e Filhos,228.79,2.94,6.59,286.0,Cartão de Débito
T000053,U01302,2025-04-23,Serviços Públicos,Água,Água,91.73,1.17,0.0,0.0,Cartão de Crédito
T000054,U02081,2025-04-21,Telefonia,Claro,Claro,53.95,0.58,1.49,30.0,Cartão de Débito
T000055,U04676,2025-04-01,Serviços Públicos,Água,Água,117.72,0.88,0.0,0.0,Pix
T000056,U01655,2025-06-07,Streaming,Netflix,Netflix,37.5,0.32,0.0,0.0,Boleto
T000057,U02671,2025-06-12,Roupas,Renner,Silva,124.22,1.0,1.81,233.0,Pix
T000058,U01638,2025-04-20,Telefonia,Vivo,Vivo,73.86,1.46,0.0,0.0,Cartão de Débito
T000059,U03918,2025-06-24,Streaming,HBO Max,HBO Max,36.6,0.45,0.0,0.0,Boleto
T000060,U02780,2025-04-16,Streaming,HBO Max,HBO Max,35.55,0.47,0.0,0.0,Pix
T000061,U04684,2025-06-11,Eletrônicos,Magazine Luiza,Silva - EI,141.81,2.79,5.95,141.0,Pix
T000062,U03804,2025-04-08,Supermercado,Extra,Campos Pinto Ltda.,407.77,5.91,0.0,0.0,Cartão de Crédito
T000063,U03630,2025-04-25,Restaurantes,Outback,Santos - ME,54.13,0.84,0.0,0.0,Cartão de Crédito
T000064,U00491,2025-06-19,Serviços Públicos,Luz,Luz,77.47,0.77,0.0,0.0,Cartão de Crédito
T000065,U02581,2025-05-02,Restaurantes,iFood,Ramos,98.39,1.58,3.29,188.0,Pix
T000066,U01379,2025-04-16,Serviços Públicos,Água,Água,105.49,1.46,3.7,180.0,Cartão de Crédito
T000067,U04624,2025-06-03,Streaming,Netflix,Netflix,30.28,0.18,0.0,0.0,Pix
T000068,U02599,2025-04-07,Eletrônicos,Casas Bahia,Aparecida - ME,899.53,8.66,18.57,898.0,Cartão de Crédito
T000069,U03333,2025-05-24,Supermercado,Extra,Dias e Filhos,300.71,2.13,0.0,0.0,Boleto
T000070,U03340,2025-04-14,Streaming,HBO Max,HBO Max,45.06,0.26,2.19,51.0,Boleto
T000071,U01130,2025-05-28,Serviços Públicos,Água,Água,161.39,2.73,6.55,115.0,Pix
T000072,U02918,2025-06-09,Supermercado,Extra,Costa Mendes - EI,450.38,4.1,0.0,0.0,Cartão de Débito
T000073,U02182,2025-04-02,Farmácia,Pague Menos,Freitas S/A,65.6,0.46,0.0,0.0,Cartão de Crédito
T000074,U04662,2025-06-03,Roupas,Zara,da Luz,219.07,1.65,8.48,265.0,Cartão de Débito
T000075,U00967,2025-05-20,Supermercado,Extra,Gonçalves Moreira S.A.,221.16,3.85,0.0,0.0,Boleto
T000076,U00611,2025-04-01,Supermercado,Carrefour,Peixoto,168.49,0.96,0.0,0.0,Pix
T000077,U04658,2025-05-15,Supermercado,Extra,da Conceição Gomes Ltda.,230.76,2.43,5.48,295.0,Cartão de Débito
T000078,U01991,2025-06-07,Farmácia,Panvel,Cassiano e Filhos,119.82,2.01,5.13,176.0,Cartão de Crédito
T000079,U00939,2025-05-04,Streaming,HBO Max,HBO Max,39.29,0.32,0.0,0.0,Cartão de Crédito
T000080,U00265,2025-04-08,Serviços Públicos,Água,Água,125.98,1.29,4.39,198.0,Cartão de Crédito
T000081,U03511,2025-05-19,Supermercado,Carrefour,Almeida S.A.,293.37,4.49,0.0,0.0,Cartão de Crédito
T000082,U00919,2025-06-02,Roupas,Zara,Nogueira Novais e Filhos,107.39,1.9300000000000002,3.37,192.0,Pix
T000083,U01868,2025-06-11,Restaurantes,McDonald’s,Mendes S.A.,97.52,1.67,0.0,0.0,Cartão de Débito
T000084,U02658,2025-05-04,Streaming,Disney+,Disney+,41.34,0.22,0.0,0.0,Cartão de Crédito
T000085,U03549,2025-05-02,Streaming,Disney+,Disney+,43.55,0.74,0.0,0.0,Cartão de Crédito
T000086,U03399,2025-06-22,Telefonia,Claro,Claro,41.04,0.61,1.07,69.0,Cartão de Débito
T000087,U03169,2025-05-30,Eletrônicos,Americanas,Ribeiro Rodrigues S.A.,994.43,10.08,0.0,0.0,Pix
T000088,U02461,2025-05-25,Telefonia,Vivo,Vivo,72.93,1.26,1.12,57.0,Pix
T000089,U04079,2025-05-17,Telefonia,TIM,TIM,85.11,0.66,3.86,86.0,Pix
T000090,U02495,2025-05-27,Telefonia,Vivo,Vivo,70.61,0.6,0.0,0.0,Boleto
T000091,U00889,2025-03-30,Supermercado,Carrefour,Teixeira,104.37,0.96,4.7,166.0,Boleto
T000092,U02149,2025-04-24,Farmácia,Pague Menos,Melo Ribeiro Ltda.,55.09,0.45,0.0,0.0,Cartão de Débito
T000093,U01178,2025-04-13,Telefonia,Claro,Claro,68.04,0.69,0.0,0.0,Pix
T000094,U00666,2025-06-13,Serviços Públicos,Luz,Luz,97.34,1.16,0.0,0.0,Boleto
T000095,U03143,2025-06-23,Streaming,Amazon Prime,Amazon Prime,27.92,0.34,0.0,0.0,Boleto
T000096,U03662,2025-04-26,Restaurantes,Rappi,Machado,63.97,0.9,0.0,0.0,Cartão de Débito
T000097,U01536,2025-06-07,Supermercado,Carrefour,Montenegro Carvalho S.A.,219.66,2.66,0.0,0.0,Cartão de Débito
T000098,U02132,2025-06-04,Serviços Públicos,Luz,Luz,106.84,1.55,1.97,60.0,Cartão de Crédito
T000099,U00889,2025-06-16,Serviços Públicos,Água,Água,143.55,0.83,0.0,0.0,Cartão de Crédito
T000100,U00963,2025-06-19,Roupas,Zara,Farias Ltda.,60.23,0.84,2.21,86.0,Pix
T000101,U02568,2025-05-01,Streaming,HBO Max,HBO Max,37.77,0.72,0.0,0.0,Pix
T000102,U04506,2025-04-20,Roupas,C&A,Pimenta,133.78,0.84,0.0,0.0,Boleto
T000103,U00070,2025-04-30,Roupas,Zara,Ferreira,65.67,0.36,2.85,44.0,Boleto
T000104,U00455,2025-06-16,Restaurantes,iFood,Novaes,139.18,1.35,3.43,90.0,Boleto
T000105,U00177,2025-04-17,Serviços Públicos,Água,Água,154.49,1.51,0.0,0.0,Cartão de Crédito
T000106,U01928,2025-03-30,Telefonia,Vivo,Vivo,62.62,1.16,0.0,0.0,Cartão de Débito
T000107,U02637,2025-06-09,Farmácia,Pague Menos,Andrade - EI,110.96,0.87,0.0,0.0,Cartão de Crédito
T000108,U00655,2025-05-05,Telefonia,Oi,Oi,64.46,0.92,1.49,77.0,Cartão de Crédito
T000109,U01009,2025-06-24,Serviços Públicos,Gás,Gás,145.35,2.66,4.58,271.0,Cartão de Débito
T000110,U04380,2025-06-24,Restaurantes,McDonald’s,da Costa Ltda.,70.51,1.13,1.8,65.0,Boleto
T000111,U01014,2025-04-16,Supermercado,Extra,Vargas,224.31,4.31,5.17,366.0,Boleto
T000112,U04525,2025-04-11,Telefonia,TIM,TIM,56.87,0.86,1.34,96.0,Boleto
T000113,U00433,2025-05-29,Serviços Públicos,Gás,Gás,126.16,1.73,0.0,0.0,Pix
T000114,U04574,2025-06-14,Supermercado,Carrefour,Gonçalves,331.96,1.9300000000000002,0.0,0.0,Cartão de Crédito
T000115,U01999,2025-04-13,Streaming,Amazon Prime,Amazon Prime,37.21,0.19,0.0,0.0,Cartão de Crédito
T000116,U04045,2025-06-17,Telefonia,Claro,Claro,40.84,0.48,1.33,27.0,Boleto
T000117,U00446,2025-06-13,Streaming,HBO Max,HBO Max,23.07,0.21,0.6,46.0,Pix
T000118,U03498,2025-04-23,Farmácia,Panvel,Rocha - ME,69.75,1.3,2.96,134.0,Pix
T000119,U03190,2025-06-08,Eletrônicos,Casas Bahia,Mendonça,5.0,0.04,0.0,0.0,Cartão de Crédito
T000120,U00204,2025-04-08,Farmácia,Drogasil,Vasconcelos,46.29,0.24,0.0,0.0,Boleto
T000121,U02300,2025-06-04,Streaming,Disney+,Disney+,34.69,0.3,0.6,26.0,Cartão de Débito
T000122,U01904,2025-04-03,Roupas,Zara,Garcia,144.52,1.01,4.8100000000000005,227.0,Boleto
T000123,U01279,2025-05-06,Serviços Públicos,Gás,Gás,155.22,1.4,2.98,102.0,Pix
T000124,U00088,2025-04-16,Streaming,Netflix,Netflix,35.39,0.18,0.0,0.0,Pix
T000125,U04599,2025-06-06,Eletrônicos,Americanas,Lopes,718.32,10.89,9.16,880.0,Cartão de Crédito
T000126,U01293,2025-04-18,Supermercado,Carrefour,Guerra,63.44,1.25,0.0,0.0,Pix
T000127,U02372,2025-04-26,Streaming,Netflix,Netflix,34.02,0.52,0.42,52.0,Cartão de Crédito
T000128,U04276,2025-06-04,Telefonia,Oi,Oi,57.03,0.74,0.0,0.0,Cartão de Crédito
T000129,U03958,2025-06-07,Restaurantes,Outback,Castro,213.91,1.23,6.35,206.0,Cartão de Crédito
T000130,U02495,2025-06-20,Restaurantes,Outback,da Conceição,129.09,2.13,4.62,226.0,Cartão de Crédito
T000131,U00049,2025-06-12,Supermercado,Pão de Açúcar,Gomes,167.61,1.17,0.0,0.0,Cartão de Débito
T000132,U00087,2025-05-13,Streaming,HBO Max,HBO Max,35.39,0.22,0.42,31.0,Cartão de Débito
T000133,U01583,2025-04-06,Farmácia,Panvel,Pinto,55.07,0.8,2.75,49.0,Boleto
T000134,U04125,2025-05-07,Supermercado,Extra,Nascimento,332.11,3.4699999999999998,0.0,0.0,Boleto
T000135,U03581,2025-05-24,Streaming,Netflix,Netflix,29.71,0.31,0.0,0.0,Cartão de Crédito
T000136,U03418,2025-05-09,Roupas,Zara,Brito,121.03,0.74,0.0,0.0,Cartão de Débito
T000137,U03162,2025-04-21,Serviços Públicos,Água,Água,111.5,1.53,1.95,86.0,Cartão de Débito
T000138,U00839,2025-06-04,Restaurantes,iFood,Castro - ME,192.47,3.1,0.0,0.0,Pix
T000139,U01066,2025-06-19,Supermercado,Pão de Açúcar,Cardoso Correia S/A,238.74,3.71,0.0,0.0,Boleto
T000140,U00805,2025-06-21,Supermercado,Extra,Ribeiro Nunes - EI,166.17,2.38,4.88,86.0,Cartão de Débito
T000141,U03619,2025-06-19,Restaurantes,Outback,Lopes,77.0,0.95,0.0,0.0,Cartão de Crédito
T000142,U02442,2025-04-06,Telefonia,TIM,TIM,78.79,1.2,2.43,94.0,Pix
T000143,U02084,2025-06-26,Streaming,HBO Max,HBO Max,41.79,0.64,0.0,0.0,Pix
T000144,U01309,2025-05-18,Roupas,C&A,Vieira - EI,221.99,3.77,9.15,414.0,Boleto
T000145,U04236,2025-05-23,Farmácia,Panvel,Costela Costela S/A,60.84,0.31,1.46,59.0,Cartão de Débito
T000146,U03933,2025-04-11,Telefonia,Vivo,Vivo,62.84,0.39,0.0,0.0,Cartão de Crédito
T000147,U00927,2025-06-03,Telefonia,Oi,Oi,85.93,0.97,0.0,0.0,Pix
T000148,U01165,2025-06-11,Serviços Públicos,Gás,Gás,155.02,2.2,0.0,0.0,Pix
T000149,U02009,2025-06-26,Telefonia,Vivo,Vivo,60.0,0.65,0.0,0.0,Boleto
T000150,U02033,2025-05-11,Supermercado,Carrefour,Machado Almeida - ME,96.09,0.98,3.35,175.0,Pix
T000151,U01353,2025-04-04,Serviços Públicos,Luz,Luz,126.16,2.04,5.6899999999999995,114.0,Boleto
T000152,U03719,2025-05-25,Telefonia,Oi,Oi,49.01,0.57,0.0,0.0,Cartão de Débito
T000153,U04213,2025-06-26,Restaurantes,iFood,Freitas,231.91,1.83,0.0,0.0,Cartão de Crédito
T000154,U03258,2025-06-19,Roupas,C&A,Leão - EI,93.54,1.09,0.0,0.0,Pix
T000155,U01545,2025-04-28,Eletrônicos,Casas Bahia,Borges,68.64,1.33,0.0,0.0,Cartão de Crédito
T000156,U00965,2025-06-06,Supermercado,Extra,Sá,200.87,3.42,0.0,0.0,Boleto
T000157,U01014,2025-04-03,Eletrônicos,Americanas,Guerra,454.8,6.52,11.26,752.0,Cartão de Crédito
T000158,U01429,2025-06-18,Serviços Públicos,Água,Água,168.4,2.21,0.0,0.0,Cartão de Crédito
T000159,U00393,2025-04-16,Farmácia,Panvel,Campos - EI,52.84,0.66,2.01,27.0,Cartão de Débito
T000160,U00871,2025-04-16,Farmácia,Drogasil,Rocha Alves - ME,101.39,0.83,4.34,132.0,Cartão de Crédito
T000161,U00013,2025-05-18,Streaming,Netflix,Netflix,35.11,0.57,1.12,46.0,Cartão de Débito
T000162,U00332,2025-06-20,Farmácia,Drogasil,Gomes,97.48,0.63,2.22,160.0,Cartão de Débito
T000163,U04242,2025-04-16,Eletrônicos,Casas Bahia,Nascimento Borges S.A.,565.8,5.9,17.64,778.0,Cartão de Crédito
T000164,U02514,2025-04-27,Eletrônicos,Casas Bahia,Nascimento Sampaio e Filhos,819.29,10.08,11.69,703.0,Cartão de Crédito
T000165,U00859,2025-06-06,Restaurantes,Rappi,Novais,75.39,1.1400000000000001,1.5899999999999999,58.0,Cartão de Débito
T000166,U04056,2025-06-01,Serviços Públicos,Luz,Luz,117.72,1.9,5.19,93.0,Cartão de Débito
T000167,U03783,2025-06-16,Roupas,Zara,Camargo Rodrigues e Filhos,138.07,2.15,0.0,0.0,Boleto
T000168,U00916,2025-04-27,Roupas,Zara,Pires Rocha S.A.,210.66,2.91,0.0,0.0,Cartão de Crédito
T000169,U02511,2025-06-13,Farmácia,Pague Menos,Vieira das Neves - EI,53.72,0.65,0.0,0.0,Boleto
T000170,U01437,2025-05-09,Telefonia,TIM,TIM,45.34,0.9,0.0,0.0,Cartão de Crédito
T000171,U03772,2025-05-02,Restaurantes,Rappi,Abreu Fonseca Ltda.,150.62,1.79,3.73,111.0,Cartão de Débito
T000172,U02766,2025-06-03,Serviços Públicos,Luz,Luz,101.36,0.9,1.42,80.0,Boleto
T000173,U01071,2025-06-08,Eletrônicos,Americanas,Barros Azevedo Ltda.,5.0,0.08,0.0,0.0,Cartão de Débito
T000174,U03309,2025-06-02,Farmácia,Panvel,Ribeiro Santos S/A,55.77,0.6,0.95,107.0,Cartão de Débito
T000175,U02002,2025-04-09,Supermercado,Pão de Açúcar,Albuquerque Sousa S.A.,221.14,3.98,0.0,0.0,Cartão de Crédito
T000176,U02414,2025-04-17,Serviços Públicos,Água,Água,103.14,0.69,1.18,193.0,Pix
T000177,U04079,2025-05-29,Roupas,Renner,Almeida,144.83,2.77,0.0,0.0,Pix
T000178,U00225,2025-05-04,Telefonia,Claro,Claro,83.95,0.98,1.18,109.0,Cartão de Débito
T000179,U04233,2025-05-13,Restaurantes,McDonald’s,Campos e Filhos,79.41,0.77,0.0,0.0,Boleto
T000180,U00807,2025-04-08,Serviços Públicos,Gás,Gás,37.11,0.48,0.0,0.0,Boleto
T000181,U02781,2025-06-15,Streaming,Netflix,Netflix,25.81,0.3,0.0,0.0,Cartão de Crédito
T000182,U02243,2025-06-14,Telefonia,Vivo,Vivo,49.33,0.74,1.8199999999999998,71.0,Pix
T000183,U03719,2025-06-09,Roupas,Renner,Caldeira e Filhos,157.77,1.87,0.0,0.0,Pix
T000184,U00345,2025-04-03,Restaurantes,Outback,Rezende e Filhos,100.73,1.51,4.78,188.0,Pix
T000185,U00665,2025-04-15,Farmácia,Panvel,Mendes - EI,167.4,1.54,0.0,0.0,Cartão de Débito
T000186,U00392,2025-05-19,Streaming,HBO Max,HBO Max,39.14,0.32,0.0,0.0,Cartão de Crédito
T000187,U01232,2025-04-26,Restaurantes,Outback,Sousa,37.51,0.7,0.0,0.0,Boleto
T000188,U04614,2025-04-04,Telefonia,Oi,Oi,59.18,1.13,0.0,0.0,Boleto
T000189,U01525,2025-05-12,Supermercado,Carrefour,da Rosa e Filhos,222.15,2.7199999999999998,7.12,391.0,Pix
T000190,U00890,2025-06-25,Telefonia,TIM,TIM,85.56,1.63,0.0,0.0,Pix
T000191,U00267,2025-06-08,Roupas,C&A,da Cruz,90.28,0.47,2.68,173.0,Boleto
T000192,U02731,2025-04-26,Eletrônicos,Magazine Luiza,Marques Ltda.,537.8,3.86,0.0,0.0,Cartão de Crédito
T000193,U02375,2025-04-04,Streaming,Disney+,Disney+,33.63,0.42,1.47,53.0,Pix
T000194,U03385,2025-06-06,Serviços Públicos,Água,Água,97.04,1.83,1.26,84.0,Cartão de Débito
T000195,U03741,2025-06-01,Serviços Públicos,Gás,Gás,122.29,1.98,0.0,0.0,Cartão de Crédito
T000196,U02917,2025-05-28,Supermercado,Extra,Leão Siqueira - EI,184.94,1.35,7.01,247.0,Cartão de Crédito
T000197,U04087,2025-04-16,Serviços Públicos,Gás,Gás,88.5,0.99,0.0,0.0,Cartão de Crédito
T000198,U00589,2025-04-29,Serviços Públicos,Luz,Luz,161.18,3.03,0.0,0.0,Cartão de Crédito
T000199,U03413,2025-05-23,Supermercado,Extra,Aragão S.A.,142.86,2.16,0.0,0.0,Cartão de Crédito
T000200,U03672,2025-04-08,Eletrônicos,Casas Bahia,Fonseca Vasconcelos S.A.,538.2,8.69,0.0,0.0,Boleto
T000201,U01588,2025-06-06,Eletrônicos,Magazine Luiza,Siqueira Porto - EI,754.01,11.66,22.55,674.0,Boleto
T000202,U01586,2025-05-21,Telefonia,TIM,TIM,39.56,0.41,0.0,0.0,Cartão de Crédito
T000203,U04567,2025-05-07,Serviços Públicos,Água,Água,155.22,2.81,3.17,281.0,Pix
T000204,U00947,2025-04-12,Serviços Públicos,Gás,Gás,55.88,0.63,1.19,68.0,Cartão de Débito
T000205,U03443,2025-04-19,Streaming,HBO Max,HBO Max,27.23,0.27,0.0,0.0,Boleto
T000206,U00146,2025-06-02,Supermercado,Carrefour,da Cunha,114.83,1.6,2.7,72.0,Cartão de Crédito
T000207,U03650,2025-04-08,Supermercado,Carrefour,Guerra Aragão - ME,106.41,0.76,0.0,0.0,Cartão de Crédito
T000208,U02588,2025-05-09,Serviços Públicos,Luz,Luz,113.13,0.86,0.0,0.0,Pix
T000209,U03689,2025-05-04,Roupas,Zara,Sampaio Fernandes Ltda.,159.12,2.13,0.0,0.0,Cartão de Crédito
T000210,U01544,2025-06-08,Telefonia,Oi,Oi,66.42,0.83,2.6,120.0,Cartão de Crédito
T000211,U04642,2025-05-22,Restaurantes,iFood,Gomes,85.37,1.1,1.23,70.0,Pix
T000212,U02171,2025-03-29,Streaming,Disney+,Disney+,28.61,0.4,0.0,0.0,Boleto
T000213,U03530,2025-05-16,Telefonia,TIM,TIM,72.32,0.76,1.03,108.0,Pix
T000214,U03348,2025-06-14,Supermercado,Pão de Açúcar,Costela - ME,368.31,4.06,0.0,0.0,Pix
T000215,U01904,2025-06-11,Eletrônicos,Magazine Luiza,Farias Fogaça S.A.,734.84,12.65,13.25,1155.0,Cartão de Crédito
T000216,U01730,2025-03-30,Supermercado,Pão de Açúcar,Aragão S.A.,315.03,5.21,12.82,254.0,Pix
T000217,U01156,2025-04-21,Serviços Públicos,Água,Água,121.36,1.5,0.0,0.0,Cartão de Débito
T000218,U03176,2025-04-13,Telefonia,Claro,Claro,33.39,0.59,0.0,0.0,Cartão de Crédito
T000219,U01300,2025-05-31,Serviços Públicos,Luz,Luz,150.23,2.14,3.92,221.0,Cartão de Crédito
T000220,U00816,2025-04-20,Restaurantes,Rappi,das Neves Ltda.,62.6,0.78,2.66,112.0,Cartão de Crédito
T000221,U02400,2025-03-30,Streaming,Netflix,Netflix,31.66,0.4,1.54,60.0,Cartão de Débito
T000222,U02652,2025-04-06,Telefonia,Claro,Claro,41.87,0.48,0.0,0.0,Cartão de Crédito
T000223,U01588,2025-06-22,Roupas,Renner,Mendes,29.02,0.52,0.0,0.0,Cartão de Crédito
T000224,U02710,2025-04-05,Serviços Públicos,Água,Água,155.08,2.38,3.7,271.0,Pix
T000225,U04172,2025-04-11,Roupas,Renner,Moura Fernandes Ltda.,150.78,1.56,0.0,0.0,Cartão de Débito
T000226,U03684,2025-06-17,Eletrônicos,Americanas,da Cruz Aragão - EI,732.16,6.78,0.0,0.0,Cartão de Crédito
T000227,U01389,2025-06-25,Supermercado,Extra,Nunes,5.0,0.04,0.0,0.0,Cartão de Crédito
T000228,U02676,2025-05-19,Restaurantes,iFood,Cardoso,13.02,0.24,0.0,0.0,Cartão de Débito
T000229,U00257,2025-06-21,Telefonia,Claro,Claro,59.59,0.51,0.0,0.0,Pix
T000230,U00497,2025-05-04,Restaurantes,Outback,Barros S/A,225.15,2.08,11.21,275.0,Boleto
T000231,U03089,2025-05-02,Eletrônicos,Casas Bahia,Casa Grande,1085.94,20.39,0.0,0.0,Pix
T000232,U04197,2025-04-01,Restaurantes,Outback,Nogueira,83.7,0.83,0.0,0.0,Pix
T000233,U02802,2025-06-20,Telefonia,Oi,Oi,67.15,1.29,2.75,60.0,Boleto
T000234,U03961,2025-05-13,Serviços Públicos,Gás,Gás,203.39,2.6,0.0,0.0,Boleto
T000235,U02633,2025-06-10,Farmácia,Pague Menos,Fernandes Ltda.,95.09,1.6400000000000001,4.02,98.0,Boleto
T000236,U03757,2025-06-26,Supermercado,Carrefour,Fonseca,200.86,3.7800000000000002,0.0,0.0,Cartão de Crédito
T000237,U03161,2025-05-17,Streaming,Amazon Prime,Amazon Prime,40.9,0.67,0.0,0.0,Cartão de Débito
T000238,U04664,2025-05-11,Eletrônicos,Casas Bahia,Ramos - EI,518.57,3.43,5.42,686.0,Pix
T000239,U03694,2025-06-21,Farmácia,Panvel,Casa Grande - EI,169.0,1.03,0.0,0.0,Cartão de Débito
T000240,U03259,2025-05-21,Streaming,Disney+,Disney+,30.66,0.36,0.0,0.0,Cartão de Débito
T000241,U04491,2025-06-08,Telefonia,TIM,TIM,61.1,0.63,2.9699999999999998,89.0,Pix
T000242,U02986,2025-05-29,Restaurantes,Rappi,Oliveira,126.13,1.58,0.0,0.0,Boleto
T000243,U00433,2025-04-28,Streaming,HBO Max,HBO Max,33.08,0.23,0.0,0.0,Boleto
T000244,U03857,2025-06-20,Streaming,HBO Max,HBO Max,34.39,0.31,1.26,67.0,Boleto
T000245,U01089,2025-06-07,Restaurantes,Outback,Mendonça Ltda.,161.12,1.38,5.32,214.0,Pix
